filename	event_labels
Y-8_IJl7P364_30.000_40.000.wav	Piano
Y-8bbIboMAUk_0.000_10.000.wav	Piano
Y-B4bF6IAmxc_70.000_80.000.wav	Piano
Y-DZutZDqnLc_270.000_280.000.wav	Piano
Y-E_gs42NrM0_70.000_80.000.wav	Piano
Y-MXvWbV9p04_0.000_10.000.wav	Piano
Y-N6VNUKnojQ_110.000_120.000.wav	Piano
Y-PY9ceOsGfE_280.000_290.000.wav	Piano
Y-Pz20yHxifc_340.000_350.000.wav	Piano
Y-TlVnext0ZU_70.000_80.000.wav	Piano
Y-YB7r41SawY_30.000_40.000.wav	Piano
Y-_FCOiRWqXA_30.000_40.000.wav	Piano
Y-fTmKsIGKTM_150.000_160.000.wav	Piano
Y-goqhsVRrrU_60.000_70.000.wav	Piano
Y-iDBxJ5u1h4_280.000_290.000.wav	Piano
Y-iN-F16tDyg_30.000_40.000.wav	Piano
Y-m-EsbBPLss_0.000_10.000.wav	Piano
Y-nilW-B5VxY_0.000_10.000.wav	Piano
Y-stYt0zYLyY_30.000_40.000.wav	Piano
Y-tJPFxETG9k_30.000_40.000.wav	Piano
Y-uh-rI5DwBk_10.000_20.000.wav	Piano
Y008LOCL9y1Y_250.000_260.000.wav	Piano
Y05N0jtqREmI_10.000_20.000.wav	Piano
Y079xvnTPT8g_60.000_70.000.wav	Piano
Y08iv4KPVHqM_250.000_260.000.wav	Piano
Y0GEm5VqwHpE_20.000_30.000.wav	Piano
Y0LXC0t8Xvn0_40.000_50.000.wav	Piano
Y0M8Bljh6hnA_230.000_240.000.wav	Piano
Y0MwiUIlL9xE_30.000_40.000.wav	Piano
Y0Nca0LiVC_s_20.000_30.000.wav	Piano
Y0OhWkzmv5gY_20.000_30.000.wav	Piano
Y0RqQ_uizs30_30.000_40.000.wav	Piano
Y0T-FmtvZ7Oc_140.000_150.000.wav	Piano
Y0YTWzqazt38_300.000_310.000.wav	Piano
Y0_Q-5Lg89lc_210.000_220.000.wav	Piano
Y0aQ8F3XIM1s_10.000_20.000.wav	Piano
Y0ayjg6dKJh4_240.000_250.000.wav	Piano
Y0dactH3z2T0_0.000_10.000.wav	Piano
Y0ehlviF0YSM_80.000_90.000.wav	Piano
Y0sZEQuB8RCo_30.000_40.000.wav	Piano
Y0ulm4Jt--lQ_30.000_40.000.wav	Piano
Y0wOtJ8TeT-8_40.000_50.000.wav	Piano
Y0wsO1Ow_O0c_330.000_340.000.wav	Piano
Y0yCtXEJ58Nw_10.000_20.000.wav	Piano
Y11-v9SOls2k_30.000_40.000.wav	Piano
Y14TRXJp3IVM_30.000_40.000.wav	Piano
Y15Qbd9SE7Yc_500.000_510.000.wav	Piano
Y194ZI0yPurk_470.000_480.000.wav	Piano
Y1Fh_tJx4TYM_50.000_60.000.wav	Piano
Y1HxILZZvXRU_30.000_40.000.wav	Piano
Y1LeIsYsHsys_40.000_50.000.wav	Piano
Y1VUOqNTdGfk_70.000_80.000.wav	Piano
Y1X1h3qEYRAw_190.000_200.000.wav	Piano
Y1Xru83lUigU_150.000_160.000.wav	Piano
Y1Y_L0-aqLLs_30.000_40.000.wav	Piano
Y1Yifh5GkwJ4_10.000_20.000.wav	Piano
Y1ZLBynhnjfY_30.000_40.000.wav	Piano
Y1_KzoXbMHWs_180.000_190.000.wav	Piano
Y1f9VoTArl0c_290.000_300.000.wav	Piano
Y1hoFgpykQ8g_30.000_40.000.wav	Piano
Y1j5bPUvLjw0_10.000_20.000.wav	Piano
Y1qPNGciIDhg_30.000_40.000.wav	Piano
Y1u1Um7zQejc_30.000_40.000.wav	Piano
Y1zRifF9nFFY_530.000_540.000.wav	Piano
